city,minutes
Detroit - MI,63.79
Chicago - IL,55.21
El Paso - TX,54.53
San Antonio - TX,43.59
Philadelphia - PA,42.74
Fort Worth - TX,41.72
Baltimore - MD,41
Memphis - TN,40.59
Columbus - OH,38.97
Dallas - TX,38.76
Indianapolis - IN,38.38
New York (Manhattan) - NY,37.73
Los Angeles - CA,37.39
Houston - TX,37.29
Jacksonville - FL,36.69
Phoenix - AZ ,36.12
Honolulu - HI,34.6
San Jose - CA,32.78
San Diego - CA,31.85
Austin - TX,31.34
Charlotte - NC,30.89
Boston - MA,29.84
Denver - CO,27.1
Seattle - WA,25.94
San Francisco - CA,21.99
Washington - DC,20.92
